Nom;Nom complet;sexe;race;couleurs;poids
Chloé;Chloé de France;2;dunker;bleu;18.5
Théo;Théo de Malte;1;iriredse;rouge,rouge;18.4
Nolan;Nolan de Lettonie;1;kangai;jaune,rouge,vert;5.7
Théo;Théo de Irlande;1;ovtccau;violet,bleu,jaune;17.5
Chloé;Chloé de Luxembourg;2;iriredse;bleu,vert;12.9
Chloé;Chloé de France;2;akitinu;bleu,violet,vert;16.2
Nathan;Nathan de Chypre;1;dunker;orange,violet,orange;2.9
Jules;Jules de Chypre;1;labrador;bleu,vert;3.3
Hugo;Hugo de Italie;1;westie;rouge,indigo,vert;2.9
Louise;Louise de Slovénie;2;caniche;bleu;1.3
Jade;Jade de Portugal;2;golden_ret;orange;15.6
Maëlys;Maëlys de Grèce;2;golden_ret;jaune,jaune;15.4
Ethan;Ethan de Grèce;1;basset_alp;vert,orange,orange;5.8
Nathan;Nathan de Portugal;1;irisett;rouge;7.4
Louis;Louis de Irlande;1;rottweiler;vert;11.6
Nathan;Nathan de Irlande;1;labrador;bleu,jaune;13.5
Inès;Inès de Malte;2;labrador;vert,violet;2.5
Jade;Jade de Grèce;2;iriredse;jaune;4.8
Clément;Clément de Autriche;1;irisett;rouge,indigo,bleu;7.6
Clément;Clément de Slovaquie;1;westie;orange,bleu,orange;8.8
Jules;Jules de Malte;1;harrier;indigo,jaune,indigo;18.5
Eva;Eva de Portugal;2;harrier;jaune,jaune,bleu;15.6
Chloé;Chloé de Estonie;2;jackrute;vert,jaune,bleu;5.7
Arthur;Arthur de Italie;1;danois;bleu,jaune;9.8
Zoé;Zoé de Pays-Bas;2;rottweiler;orange;12.4
Emma;Emma de Slovaquie;2;dunker;rouge;8.2
Raphaël;Raphaël de Italie;1;danois;indigo;17.1
Chloé;Chloé de Irlande;2;caniche;rouge,rouge;17.1
Maëlys;Maëlys de Slovénie;2;kangai;indigo,bleu;10.3
Hugo;Hugo de Irlande;1;harrier;bleu;18.5
Louise;Louise de Autriche;2;akita;violet;14.7
Louna;Louna de Estonie;2;caniche;jaune,jaune;17.9
Sarah;Sarah de Espagne;2;dunker;bleu,jaune;11.5
Gabriel;Gabriel de Belgique;1;ovtccau;jaune,indigo;0.6
Lucas;Lucas de Italie;1;danois;rouge,vert,violet;14.9
Lola;Lola de Chypre;2;jackrute;violet;6.3
Tom;Tom de Allemagne;1;akitinu;indigo;3.0
Lilou;Lilou de Finlande;2;akitinu;violet,vert;6.3
Inès;Inès de Irlande;2;estrela;rouge;9.3
Raphaël;Raphaël de Espagne;1;estrela;orange,bleu;16.6
Inès;Inès de Belgique;2;caniche;jaune;12.0
Théo;Théo de Malte;1;golden_ret;jaune,violet,orange;10.3
Maël;Maël de Chypre;1;labrador;vert,bleu;8.2
Hugo;Hugo de France;1;jackrute;orange;4.0
Noah;Noah de Finlande;1;westie;orange,rouge;9.5
Maël;Maël de Portugal;1;golden_ret;violet;9.3
Raphaël;Raphaël de Malte;1;akitinu;indigo;11.3
Ethan;Ethan de Lettonie;1;danois;vert,vert,jaune;14.9
Raphaël;Raphaël de Portugal;1;rottweiler;bleu,indigo;8.2
Emma;Emma de Finlande;2;maltais;orange;11.3
Lucas;Lucas de Slovaquie;1;caniche;vert,bleu;6.8
Ethan;Ethan de Grèce;1;ovtccau;orange;12.4
Enzo;Enzo de Slovaquie;1;labrador;bleu,bleu;15.4
Romane;Romane de Luxembourg;2;harrier;indigo,jaune;16.2
Inès;Inès de Espagne;2;golden_ret;jaune,indigo;19.8
Emma;Emma de Slovaquie;2;tchin;rouge,bleu;14.1
Raphaël;Raphaël de Portugal;1;berger_all;rouge;13.6
Raphaël;Raphaël de Luxembourg;1;kangai;violet;5.8
Chloé;Chloé de Lettonie;2;estrela;rouge,indigo;13.8
Maël;Maël de Irlande;1;westie;orange,indigo,rouge;7.2
Camille;Camille de Slovénie;2;tchin;bleu,vert,jaune;14.7
Manon;Manon de Belgique;2;rottweiler;bleu,vert,rouge;7.7
Ethan;Ethan de Autriche;1;rottweiler;indigo;5.7
Arthur;Arthur de Autriche;1;maltais;indigo,vert;11.0
Tom;Tom de Portugal;1;labrador;bleu,vert;14.2
Alice;Alice de Irlande;2;irisett;orange,orange;14.0
Manon;Manon de Espagne;2;golden_ret;bleu,vert,bleu;6.2
Chloé;Chloé de Belgique;2;kangai;vert,violet,vert;8.0
Timéo;Timéo de Chypre;1;jackrute;bleu,indigo;5.3
Manon;Manon de Italie;2;iriredse;vert,jaune,rouge;11.1
Jade;Jade de Finlande;2;rottweiler;violet,indigo;7.0
Romane;Romane de Irlande;2;tchin;orange;14.2
Louna;Louna de France;2;danois;bleu,indigo;1.2
Maël;Maël de Lettonie;1;akitinu;bleu;16.2
Arthur;Arthur de Slovaquie;1;jackrute;orange,vert;0.3
Alice;Alice de Grèce;2;basset_alp;jaune,orange,indigo;4.1
Clément;Clément de Irlande;1;harrier;jaune,bleu;7.6
Timéo;Timéo de Chypre;1;danois;violet;16.7
Hugo;Hugo de Finlande;1;kangai;indigo,jaune,violet;19.3
Mathis;Mathis de Finlande;1;jackrute;orange;8.7
Lina;Lina de Luxembourg;2;harrier;violet;15.7
Léna;Léna de Chypre;2;maltais;orange,violet,indigo;11.6
Sarah;Sarah de Belgique;2;kangai;jaune,rouge;0.8
Raphaël;Raphaël de Lettonie;1;maltais;rouge,rouge,bleu;6.7
Eva;Eva de Pays-Bas;2;harrier;bleu,indigo;18.1
Alice;Alice de Finlande;2;berger_all;jaune,bleu,vert;16.3
Manon;Manon de Autriche;2;akitinu;rouge,vert,violet;5.1
Adam;Adam de Allemagne;1;golden_ret;orange;18.2
Gabriel;Gabriel de Lettonie;1;golden_ret;vert;7.5
Léna;Léna de Espagne;2;estrela;violet;2.3
Léo;Léo de Irlande;1;iriredse;vert,rouge;3.1
Arthur;Arthur de Finlande;1;estrela;violet;6.4
Camille;Camille de Espagne;2;berger_all;orange;2.3
Emma;Emma de Chypre;2;harrier;rouge;3.9
Inès;Inès de Italie;2;estrela;vert;9.5
Alice;Alice de Autriche;2;dunker;vert,indigo,vert;12.4
Romane;Romane de Irlande;2;berger_all;violet,orange;11.7
Gabriel;Gabriel de Luxembourg;1;irisett;indigo,indigo;13.9
Emma;Emma de Finlande;2;tchin;bleu,violet,indigo;8.9
Louise;Louise de Italie;2;caniche;jaune,bleu,rouge;11.6
Ethan;Ethan de Belgique;1;labrador;rouge;8.2
Romane;Romane de Luxembourg;2;golden_ret;bleu;19.6
Chloé;Chloé de Luxembourg;2;maltais;jaune;17.1
Gabriel;Gabriel de Espagne;1;golden_ret;bleu;9.6
Nolan;Nolan de Luxembourg;1;harrier;violet,violet;7.5
Sarah;Sarah de Allemagne;2;dunker;rouge,violet,indigo;6.4
Lucas;Lucas de Luxembourg;1;westie;bleu,rouge;6.1
Romane;Romane de Autriche;2;basset_alp;bleu;8.0
Louise;Louise de Finlande;2;estrela;orange;0.5
Clément;Clément de Grèce;1;maltais;bleu;15.9
Adam;Adam de Luxembourg;1;basset_alp;indigo;11.7
Mathis;Mathis de Espagne;1;berger_all;rouge;2.2
Nolan;Nolan de Chypre;1;jackrute;violet,jaune,bleu;9.7
Lucas;Lucas de Estonie;1;tchin;vert,bleu;19.1
Léo;Léo de Autriche;1;golden_ret;indigo,jaune,bleu;2.1
Manon;Manon de Belgique;2;harrier;jaune,jaune,violet;1.0
Tom;Tom de Slovaquie;1;iriredse;vert,bleu,violet;1.6
Alice;Alice de Portugal;2;akitinu;vert;2.6
Zoé;Zoé de Finlande;2;rottweiler;vert,rouge;12.5
Jules;Jules de France;1;basset_alp;vert;15.8
Ethan;Ethan de Grèce;1;kangai;indigo;3.3
Camille;Camille de Pays-Bas;2;danois;vert;17.0
Louna;Louna de Pays-Bas;2;caniche;rouge;6.3
Adam;Adam de Malte;1;iriredse;rouge,indigo,rouge;17.9
Lola;Lola de Slovénie;2;golden_ret;jaune,rouge;14.9
Clément;Clément de Grèce;1;ovtccau;rouge;4.8
Inès;Inès de Autriche;2;harrier;indigo,bleu;5.9
Lola;Lola de Estonie;2;kangai;indigo,vert,bleu;16.7
Adam;Adam de Italie;1;ovtccau;indigo,indigo,jaune;17.4
Hugo;Hugo de Grèce;1;dunker;violet,indigo;13.5
Gabriel;Gabriel de Lettonie;1;basset_alp;rouge;17.4
Clara;Clara de Grèce;2;golden_ret;indigo;9.6
Clara;Clara de Pays-Bas;2;dunker;indigo;6.3
Louis;Louis de France;1;iriredse;bleu,jaune,jaune;13.3
Chloé;Chloé de Luxembourg;2;maltais;vert,indigo;14.5
Zoé;Zoé de Slovénie;2;ovtccau;rouge,indigo,jaune;4.7
Eva;Eva de France;2;basset_alp;bleu,rouge,orange;18.8
Camille;Camille de Finlande;2;labrador;rouge,orange;3.4
Louna;Louna de Allemagne;2;kangai;violet;1.7
Théo;Théo de Portugal;1;basset_alp;violet,rouge;19.6
Louna;Louna de Luxembourg;2;danois;rouge,orange,rouge;1.6
Camille;Camille de Italie;2;westie;bleu,orange,indigo;17.1
Mathis;Mathis de Portugal;1;westie;bleu,indigo,jaune;17.7
Clara;Clara de Lettonie;2;labrador;vert,jaune,vert;13.6
Manon;Manon de Chypre;2;rottweiler;orange,indigo;19.8
Léna;Léna de Pays-Bas;2;westie;violet;2.8
Gabriel;Gabriel de Espagne;1;danois;orange,vert;13.6
Adam;Adam de Malte;1;danois;jaune,indigo;16.6
Ethan;Ethan de Estonie;1;irisett;bleu,bleu,bleu;15.9
Léna;Léna de Lettonie;2;berger_all;rouge;5.0
Hugo;Hugo de Pays-Bas;1;maltais;bleu;4.6
Ethan;Ethan de Slovaquie;1;iriredse;rouge,orange,indigo;0.8
Eva;Eva de Autriche;2;akitinu;violet,rouge;0.8
Gabriel;Gabriel de Pays-Bas;1;caniche;violet,rouge,jaune;0.0
Maël;Maël de Finlande;1;harrier;vert,bleu;18.8
Adam;Adam de Italie;1;basset_alp;rouge;6.5
Clément;Clément de Malte;1;estrela;rouge;9.3
Louis;Louis de Slovénie;1;akita;violet,orange;18.2
Mathis;Mathis de Malte;1;iriredse;rouge,jaune,rouge;0.8
Nathan;Nathan de Finlande;1;maltais;vert,bleu;5.0
Mathis;Mathis de Belgique;1;akitinu;rouge,rouge;2.3
Jules;Jules de Pays-Bas;1;dunker;violet,jaune,rouge;3.7
Lina;Lina de Finlande;2;ovtccau;bleu,violet;10.3
Maëlys;Maëlys de Estonie;2;labrador;bleu,violet;1.2
Nolan;Nolan de Portugal;1;golden_ret;vert,bleu;19.3
Léa;Léa de Autriche;2;ovtccau;rouge,rouge;9.8
Romane;Romane de Finlande;2;akita;orange,orange,bleu;3.6
Lucas;Lucas de Italie;1;caniche;jaune;11.1
Noah;Noah de Slovénie;1;berger_all;vert,orange;18.6
Lucas;Lucas de Chypre;1;westie;vert,indigo;3.9
Hugo;Hugo de Luxembourg;1;berger_all;rouge;13.3
Lucas;Lucas de Allemagne;1;iriredse;orange;2.5
Léa;Léa de Pays-Bas;2;labrador;bleu,vert,bleu;5.9
Timéo;Timéo de Slovénie;1;ovtccau;violet;0.5
Lilou;Lilou de Autriche;2;basset_alp;indigo;0.1
Hugo;Hugo de Portugal;1;akitinu;rouge;13.1
Noah;Noah de Chypre;1;irisett;violet,violet,violet;2.0
Emma;Emma de Luxembourg;2;maltais;rouge;11.4
Chloé;Chloé de Chypre;2;akita;orange,indigo;3.3
Nolan;Nolan de Portugal;1;tchin;violet,violet,rouge;8.0
Romane;Romane de Chypre;2;estrela;jaune;19.4
Léa;Léa de Luxembourg;2;akita;orange;12.9
Adam;Adam de France;1;rottweiler;indigo,rouge,orange;16.5
Arthur;Arthur de Allemagne;1;jackrute;orange,indigo,indigo;19.9
Enzo;Enzo de Grèce;1;basset_alp;vert,indigo;17.2
Enzo;Enzo de Malte;1;tchin;jaune,orange,vert;1.4
Léa;Léa de France;2;akita;jaune;3.4
Noah;Noah de Finlande;1;maltais;violet,bleu,jaune;10.0
Arthur;Arthur de Estonie;1;jackrute;jaune,orange,orange;8.1
Théo;Théo de Italie;1;danois;orange,jaune,rouge;15.6
Zoé;Zoé de Malte;2;irisett;violet,violet,violet;19.7
Hugo;Hugo de Slovaquie;1;akita;jaune;14.1
Timéo;Timéo de Slovénie;1;caniche;bleu,jaune,indigo;13.7
Zoé;Zoé de Espagne;2;akitinu;bleu;12.1
Adam;Adam de Slovaquie;1;westie;jaune,violet;10.6
Tom;Tom de Autriche;1;estrela;vert,indigo;2.4
Jade;Jade de Belgique;2;jackrute;indigo,violet;14.9
Jules;Jules de Chypre;1;irisett;indigo;9.2
Nolan;Nolan de France;1;jackrute;violet,jaune;0.5
Alice;Alice de Slovénie;2;kangai;orange,rouge;10.2
